"Ethnicity","Local Authority","Number","%"
"White","Bedford","27","0.14"
"White","Bexley","41","0.15"
"White","Birmingham","99","0.14"
"White","Blackburn with Darwen","7","0.05"
"White","Blackpool","39","0.22"
"White","Bolton","67","0.21"
"White","Bournemouth","42","0.21"
"White","Bracknell Forest","15","0.10"
"White","Bradford","15","0.03"
"White","Brent","3","0.03"
"White","Brighton and Hove","9","0.04"
"White","Bristol City of","8","0.02"
"White","Bromley","41","0.12"
"White","Buckinghamshire","46","0.08"
"White","Bury","45","0.20"
"White","Calderdale","38","0.14"
"White","Cambridgeshire","6","0.01"
"White","Camden","11","0.13"
"White","Central Bedfordshire","44","0.11"
"White","Cheshire East","36","0.07"
"White","Cheshire West and Chester","22","0.05"
"White","City of London","0","0.00"
"White","Cornwall","71","0.10"
"White","Coventry","50","0.15"
"White","Croydon","6","0.03"
"White","Cumbria","85","0.13"
"White","Darlington","10","0.07"
"White","Derby","41","0.15"
"White","Derbyshire","168","0.17"
"White","Devon","96","0.10"
"White","Doncaster","38","0.09"
"White","Dorset","57","0.11"
"White","Dudley","68","0.19"
"White","Durham","86","0.12"
"White","Ealing","7","0.04"
"White","East Riding of Yorkshire","31","0.07"
"White","East Sussex","72","0.12"
"White","Enfield","19","0.07"
"White","Essex","78","0.04"
"White","Gateshead","53","0.21"
"White","Gloucestershire","110","0.14"
"White","Greenwich","5","0.03"
"White","Hackney","12","0.10"
"White","Halton","19","0.10"
"White","Hammersmith and Fulham","11","0.13"
"White","Hampshire","57","0.04"
"White","Haringey","7","0.04"
"White","Harrow","11","0.11"
"White","Hartlepool","11","0.08"
"White","Havering","28","0.10"
"White","Herefordshire","17","0.08"
"White","Hertfordshire","108","0.07"
"White","Hillingdon","24","0.11"
"White","Hounslow","8","0.05"
"White","Isle of Wight","13","0.08"
"White","Isles Of Scilly","0","0.00"
"White","Islington","9","0.09"
"White","Kensington and Chelsea","6","0.12"
"White","Kent","33","0.02"
"White","Kingston upon Hull City of","42","0.12"
"White","Kingston upon Thames","2","0.01"
"White","Kirklees","53","0.13"
"White","Knowsley","11","0.06"
"White","Lambeth","1","0.01"
"White","Lancashire","287","0.20"
"White","Leeds","1","0.00"
"White","Leicester","8","0.04"
"White","Leicestershire","25","0.03"
"White","Lewisham","11","0.08"
"White","Lincolnshire","99","0.10"
"White","Liverpool","69","0.12"
"White","Luton","22","0.18"
"White","Manchester","58","0.16"
"White","Medway","49","0.13"
"White","Merton","4","0.03"
"White","Middlesbrough","40","0.21"
"White","Milton Keynes","9","0.03"
"White","Newcastle upon Tyne","44","0.15"
"White","Newham","5","0.05"
"White","Norfolk","199","0.19"
"White","North East Lincolnshire","40","0.18"
"White","North Lincolnshire","23","0.10"
"White","North Somerset","39","0.14"
"White","North Tyneside","18","0.06"
"White","North Yorkshire","89","0.11"
"White","Northamptonshire","105","0.11"
"White","Northumberland","80","0.18"
"White","Nottingham","41","0.17"
"White","Nottinghamshire","40","0.04"
"White","Oldham","21","0.09"
"White","Oxfordshire","34","0.04"
"White","Peterborough","31","0.12"
"White","Plymouth","39","0.11"
"White","Poole","36","0.20"
"White","Portsmouth","16","0.08"
"White","Reading","13","0.11"
"White","Redbridge","12","0.09"
"White","Redcar and Cleveland","53","0.25"
"White","Richmond upon Thames","7","0.04"
"White","Rochdale","48","0.21"
"White","Rotherham","34","0.09"
"White","Rutland","3","0.06"
"White","Salford","55","0.19"
"White","Sandwell","40","0.14"
"White","Sefton","37","0.10"
"White","Sheffield","83","0.15"
"White","Shropshire","58","0.16"
"White","Slough","4","0.05"
"White","Solihull","40","0.14"
"White","Somerset","108","0.16"
"White","South Gloucestershire","46","0.13"
"White","South Tyneside","34","0.17"
"White","Southampton","8","0.03"
"White","Southend-on-Sea","12","0.05"
"White","Southwark","8","0.06"
"White","St. Helens","11","0.04"
"White","Staffordshire","146","0.14"
"White","Stockport","40","0.12"
"White","Stockton-on-Tees","38","0.14"
"White","Stoke-on-Trent","40","0.14"
"White","Suffolk","84","0.09"
"White","Sunderland","50","0.13"
"White","Surrey","62","0.05"
"White","Sutton","11","0.05"
"White","Swindon","30","0.11"
"White","Tameside","80","0.28"
"White","Telford and Wrekin","18","0.07"
"White","Thurrock","29","0.14"
"White","Torbay","46","0.25"
"White","Tower Hamlets","1","0.02"
"White","Trafford","42","0.15"
"White","Wakefield","61","0.13"
"White","Walsall","41","0.13"
"White","Waltham Forest","4","0.02"
"White","Wandsworth","5","0.04"
"White","Warrington","8","0.03"
"White","Warwickshire","70","0.10"
"White","West Berkshire","12","0.05"
"White","West Sussex","106","0.11"
"White","Westminster","0","0.00"
"White","Wigan","36","0.08"
"White","Wiltshire","18","0.03"
"White","Windsor and Maidenhead","13","0.08"
"White","Wirral","43","0.09"
